Wedding Fair Id,Wedding Fair Name,Wedding Fair Owner Id,Email,Secondary Email,Created By,Modified By,Created Time,Modified Time,Last Activity Time,Currency,Exchange Rate,Wedding Fair Name,Wedding Fair Date,Wedding Fair Location,Email Opt Out,Layout
zcrm_1236681000001215069,Concord Spring 2015,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,12/3/14 16:57,12/3/14 16:57,12/3/14 16:57,,,Concord Spring 2015,5/4/14,Concord Crowne Plaza,FALSE,
zcrm_1236681000001215073,Treasure Island Spring 2015 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,12/3/14 16:57,12/3/14 16:57,12/3/14 16:57,,,Treasure Island Spring 2015 Wedding Fair,11/16/14,Treasure Island Wedding Fair,FALSE,
zcrm_1236681000001215077,Pleasanton Summer 2015 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,12/3/14 16:58,12/3/14 16:58,12/3/14 16:58,,,Pleasanton Summer 2015 Wedding Fair,11/23/14,Pleasanton Doubletree By Hilton,FALSE,
zcrm_1236681000001895001,Palo Alto Crowne Plaza Fall 2015 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000230001,5/11/15 13:14,10/21/15 9:38,7/28/15 14:56,,,Palo Alto Crowne Plaza Spring 2015 Wedding Fair,10/25/15,Palo Alto Crowne Plaza,FALSE,
zcrm_1236681000001895007,San Rafael Embassy Suites Fall  2015 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,5/11/15 13:17,8/17/15 13:19,8/17/15 13:19,,,San Rafael Embassy Suites - Sunday September 27th,9/27/15,San Rafael Embassy Suites - Sunday September 27th,FALSE,
zcrm_1236681000001895013,San Francisco Hotel Kabuki Fall 2015 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000230001,5/11/15 13:18,9/30/15 10:13,5/11/15 13:18,,,San Francisco Hotel Kabuki - Sunday October 4th 20,10/4/15,San Francisco Hotel Kabuki,FALSE,
zcrm_1236681000001895017,Concord Crowne Plaza Fall 2015 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,5/11/15 13:19,5/11/15 13:19,5/11/15 13:19,,,Concord Crowne Plaza - Sunday October 18th 2015,10/18/15,Concord Crowne Plaza,FALSE,
zcrm_1236681000001895021,Pleasanton Doubletree Hilton Fall 2015 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,5/11/15 13:19,10/21/15 15:10,10/21/15 15:10,,,Pleasanton Doubletree Hilton - Sunday November 15t,11/15/15,Pleasanton Doubletree Hilton,FALSE,
zcrm_1236681000002492025,Pleasanton Doubletree Hilton Spring 2016 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,10/27/15 18:00,10/27/15 18:01,10/27/15 18:00,,,Pleasanton Doubletree Hilton - Sunday Apr 17th,4/17/16,Pleasanton Doubletree Hilton,FALSE,
zcrm_1236681000002492029,Walnut Creek Marriott Spring 2016 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,10/27/15 18:01,10/27/15 18:01,10/27/15 18:01,,,Walnut Creek Marriott Spring 2016 Wedding Fair,2/28/16,Walnut Creek Marriott,FALSE,
zcrm_1236681000002492035,San Francisco Hotel Kabuki Spring 2016 Wedding Fair,zcrm_1236681000000071001,,,zcrm_1236681000000071001,zcrm_1236681000000071001,10/27/15 18:02,10/27/15 18:02,10/27/15 18:02,,,San Francisco Hotel Kabuki - Sunday May 15th,5/15/16,San Francisco Hotel Kabuki,FALSE,
